Id,Name ,SwahiliName,IsActive,MinistryId,IsPublicSector
174,Mamlaka ya Kupambana  na Kudhibiti Madawa ya Kulevya,Mamlaka ya Kupambana  na Kudhibiti Madawa ya Kulevya,1,4,1
175,Mamlaka ya Uhifadhi na Uendeshaji wa Mji Mkongwe (STCDA),Mamlaka ya Uhifadhi na Uendeshaji wa Mji Mkongwe (STCDA),1,27,1
176,Mfuko Mkuu wa Serikali Zanzibar,Mfuko Mkuu wa Serikali Zanzibar,1,NULL,1
177,Baraza la Mji Chake Chake,Baraza la Mji Chake Chake,1,16,1
178,Baraza la Tiba Asili na Tiba Mbadala,Baraza la Tiba Asili na Tiba Mbadala,1,5,1
179,Mamlaka ya Ununuzi na Uondoshaji wa Mali za Serikali(ZPPDA),Mamlaka ya Ununuzi na Uondoshaji wa Mali za Serikali(ZPPDA),1,23,1
180,Afisi ya Mkurugenzi wa Mashtaka,Afisi ya Mkurugenzi wa Mashtaka,0,NULL,1
181,Bodi ya Ushauri ya Taasisi ya Utafiti wa Mifugo,Bodi ya Ushauri ya Taasisi ya Utafiti wa Mifugo,1,NULL,1
182,Mamlaka ya Usimamizi wa Mazingira,Mamlaka ya Usimamizi wa Mazingira,1,4,1
183,Bodi ya Ushauri ya Taasisi ya Elimu Zanzibar,Bodi ya Ushauri ya Taasisi ya Elimu Zanzibar,1,19,1
184,Bodi ya Wakurugenzi wa Kampuni ya Maendeleo ya Mafuta na Gesi Asilia,Bodi ya Wakurugenzi wa Kampuni ya Maendeleo ya Mafuta na Gesi Asilia,1,NULL,1
185,Bodi ya Wakandarasi,Bodi ya Wakandarasi,1,29,1
186,Bodi ya Usalama wa Barabara,Bodi ya Usalama wa Barabara,1,NULL,1
187,Kikosi Maalum cha Kuzuia Magendo,Kikosi Maalum cha Kuzuia Magendo,1,16,1
188,Chuo cha Uandishi wa Habari,Chuo cha Uandishi wa Habari,0,26,1
189,Afisi ya Mtakwimu Mkuu wa SMZ,Afisi ya Mtakwimu Mkuu wa SMZ,0,23,1
190,Ofisi ya Mwanasheria Mkuu wa Serikali Zanzibar,Ofisi ya Mwanasheria Mkuu wa Serikali Zanzibar,1,22,1
191,Baraza la Manispaa Mjini,Baraza la Manispaa Mjini,1,16,1
192,Bodi ya Kondominio,Bodi ya Kondominio,1,29,1
193,Baraza la Taifa la Michezo Zanzibar,Baraza la Taifa la Michezo Zanzibar,0,NULL,1
